Line Item,2025-01-01,2024-01-01,2023-01-01,2022-01-01
Total Revenue,2890.0,2780.0,2120.0,1800.0
Cost Of Revenue,1200.0,1150.0,850.0,750.0
Gross Profit,1690.0,1630.0,1270.0,1050.0
Research And Development,450.0,420.0,350.0,320.0
Selling General And Administration,350.0,330.0,280.0,250.0
Operating Expense,800.0,750.0,630.0,570.0
EBIT,890.0,880.0,640.0,480.0
Interest Expense,25.0,28.0,30.0,35.0
Pretax Income,865.0,852.0,610.0,445.0
Tax Provision,171.0,170.0,122.0,89.0
Net Income,694.0,682.0,488.0,356.0
Depreciation And Amortization,200.0,190.0,180.0,170.0
